ntdll-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export ntdll.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0001   0x016f   0x000572fb PropertyLengthAsVariant
    0x0024   0x001c   0x0004f3e3 DbgUiRemoteBreakin
    0x0025   0x001d   0x0004f358 DbgUiSetThreadDebugObject
    0x0026   0x001e   0x0004f3c1 DbgUiStopDebugging
    0x0027   0x001f   0x0004f375 DbgUiWaitStateChange
    0x0028   0x0020   0x00000612 DbgUserBreakPoint
    0x0029   0x0021   0x0000d8f0 KiFastSystemCall
    0x002a   0x0022   0x0000d8f4 KiFastSystemCallRet
    0x002b   0x0023   0x0000d900 KiIntSystemCall
    0x002c   0x0024   0x0000d8a8 KiRaiseUserExceptionDispatcher
    0x002d   0x0025   0x0000d830 KiUserApcDispatcher
    0x002e   0x0026   0x0000d840 KiUserCallbackDispatcher
    0x002f   0x0027   0x0000d85c KiUserExceptionDispatcher
    0x0030   0x0028   0x0001fd98 LdrAccessOutOfProcessResource
    0x0031   0x0029   0x00011b88 LdrAccessResource
    0x0032   0x002a   0x0002bed5 LdrAddRefDll
    0x0033   0x002b   0x00045e5f LdrAlternateResourcesEnabled
    0x0034   0x002c   0x0001f5a3 LdrCreateOutOfProcessImage
    0x0035   0x002d   0x0001f6bd LdrDestroyOutOfProcessImage
    0x0036   0x002e   0x0001cadb LdrDisableThreadCalloutsForDll
    0x0037   0x002f   0x000576e0 LdrEnumResources
    0x0038   0x0030   0x000207e5 LdrEnumerateLoadedModules
    0x0039   0x0031   0x0001f205 LdrFindCreateProcessManifest
    0x003a   0x0032   0x0005764b LdrFindEntryForAddress
    0x003b   0x0033   0x0001b64d LdrFindResourceDirectory_U
    0x003c   0x0034   0x0005840e LdrFindResourceEx_U
    0x003d   0x0035   0x00011b67 LdrFindResource_U
    0x003e   0x0036   0x0002e122 LdrFlushAlternateResourceModules
    0x003f   0x0037   0x00015a80 LdrGetDllHandle
    0x0040   0x0038   0x00015aa1 LdrGetDllHandleEx
    0x0041   0x0039   0x00017288 LdrGetProcedureAddress
    0x0042   0x003a   0x0004f7ae LdrHotPatchRoutine
    0x0043   0x003b   0x00050292 LdrInitShimEngineDynamic
    0x0044   0x003c   0x00000566 LdrInitializeThunk
    0x0045   0x003d   0x00011be8 LdrLoadAlternateResourceModule
    0x0046   0x003e   0x000157a3 LdrLoadDll
    0x0047   0x003f   0x00012043 LdrLockLoaderLock
    0x0048   0x0040   0x00058afc LdrProcessRelocationBlock
    0x0049   0x0041   0x0001c083 LdrQueryImageFileExecutionOptions
    0x004a   0x0042   0x00050001 LdrQueryProcessModuleInformation
    0x004b   0x0043   0x00050021 LdrSetAppCompatDllRedirectionCallback
    0x004c   0x0044   0x000215ff LdrSetDllManifestProber
    0x004d   0x0045   0x00022fb8 LdrShutdownProcess
    0x004e   0x0046   0x00012d36 LdrShutdownThread
    0x004f   0x0047   0x00018d31 LdrUnloadAlternateResourceModule
    0x0050   0x0048   0x0001676b LdrUnloadDll
    0x0051   0x0049   0x000120f9 LdrUnlockLoaderLock
    0x0052   0x004a   0x0002fe0c LdrVerifyImageMatchesChecksum
    0x0053   0x004b   0x0007a498 NlsAnsiCodePage
    0x0054   0x004c   0x0007a4a0 NlsMbCodePageTag
    0x0055   0x004d   0x0007a4a8 NlsMbOemCodePageTag
    0x0056   0x004e   0x0000c240 NtAcceptConnectPort
    0x0057   0x004f   0x0000c250 NtAccessCheck
    0x0058   0x0050   0x0000c260 NtAccessCheckAndAuditAlarm
    0x0059   0x0051   0x0000c270 NtAccessCheckByType
    0x005a   0x0052   0x0000c280 NtAccessCheckByTypeAndAuditAlarm
    0x005b   0x0053   0x0000c290 NtAccessCheckByTypeResultList
    0x005c   0x0054   0x0000c2a0 NtAccessCheckByTypeResultListAndAuditAlarm
    0x005d   0x0055   0x0000c2b0 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
    0x005e   0x0056   0x0000c2c0 NtAddAtom
    0x005f   0x0057   0x0000c2d0 NtAddBootEntry
    0x0060   0x0058   0x0000c2e0 NtAdjustGroupsToken
    0x0061   0x0059   0x0000c2f0 NtAdjustPrivilegesToken
    0x0062   0x005a   0x0000c300 NtAlertResumeThread
    0x0063   0x005b   0x0000c310 NtAlertThread
    0x0064   0x005c   0x0000c320 NtAllocateLocallyUniqueId
    0x0065   0x005d   0x0000c330 NtAllocateUserPhysicalPages
    0x0066   0x005e   0x0000c340 NtAllocateUuids
    0x0067   0x005f   0x0000c350 NtAllocateVirtualMemory
    0x0068   0x0060   0x0000c360 NtAreMappedFilesTheSame
    0x0069   0x0061   0x0000c370 NtAssignProcessToJobObject
    0x006a   0x0062   0x0000c380 NtCallbackReturn
    0x006b   0x0063   0x0000c390 NtCancelDeviceWakeupRequest
    0x006c   0x0064   0x0000c3a0 NtCancelIoFile
    0x006d   0x0065   0x0000c3b0 NtCancelTimer
    0x006e   0x0066   0x0000c3c0 NtClearEvent
    0x006f   0x0067   0x0000c3d0 NtClose
    0x0070   0x0068   0x0000c3e0 NtCloseObjectAuditAlarm
    0x0071   0x0069   0x0000c3f0 NtCompactKeys
    0x0072   0x006a   0x0000c400 NtCompareTokens
    0x0073   0x006b   0x0000c410 NtCompleteConnectPort
    0x0074   0x006c   0x0000c420 NtCompressKey
    0x0075   0x006d   0x0000c430 NtConnectPort
    0x0076   0x006e   0x0000c440 NtContinue
    0x0077   0x006f   0x0000c450 NtCreateDebugObject
    0x0078   0x0070   0x0000c460 NtCreateDirectoryObject
    0x0079   0x0071   0x0000c470 NtCreateEvent
    0x007a   0x0072   0x0000c480 NtCreateEventPair
    0x007b   0x0073   0x0000c490 NtCreateFile
    0x007c   0x0074   0x0000c4a0 NtCreateIoCompletion
    0x007d   0x0075   0x0000c4b0 NtCreateJobObject
    0x007e   0x0076   0x0000c4c0 NtCreateJobSet
    0x007f   0x0077   0x0000c4d0 NtCreateKey
    0x0080   0x0078   0x0000d3b0 NtCreateKeyedEvent
    0x0081   0x0079   0x0000c4e0 NtCreateMailslotFile
    0x0082   0x007a   0x0000c4f0 NtCreateMutant
    0x0083   0x007b   0x0000c500 NtCreateNamedPipeFile
    0x0084   0x007c   0x0000c510 NtCreatePagingFile
    0x0085   0x007d   0x0000c520 NtCreatePort
    0x0086   0x007e   0x0000c530 NtCreateProcess
    0x0087   0x007f   0x0000c540 NtCreateProcessEx
    0x0088   0x0080   0x0000c550 NtCreateProfile
    0x0089   0x0081   0x0000c560 NtCreateSection
    0x008a   0x0082   0x0000c570 NtCreateSemaphore
    0x008b   0x0083   0x0000c580 NtCreateSymbolicLinkObject
    0x008c   0x0084   0x0000c590 NtCreateThread
    0x008d   0x0085   0x0000c5a0 NtCreateTimer
    0x008e   0x0086   0x0000c5b0 NtCreateToken
    0x008f   0x0087   0x0000c5c0 NtCreateWaitablePort
    0x0090   0x0088   0x0000061e NtCurrentTeb
    0x0091   0x0089   0x0000c5d0 NtDebugActiveProcess
    0x0092   0x008a   0x0000c5e0 NtDebugContinue
    0x0093   0x008b   0x0000c5f0 NtDelayExecution
    0x0094   0x008c   0x0000c600 NtDeleteAtom
    0x0095   0x008d   0x0000c610 NtDeleteBootEntry
    0x0096   0x008e   0x0000c620 NtDeleteFile
    0x0097   0x008f   0x0000c630 NtDeleteKey
    0x0098   0x0090   0x0000c640 NtDeleteObjectAuditAlarm
    0x0099   0x0091   0x0000c650 NtDeleteValueKey
    0x009a   0x0092   0x0000c660 NtDeviceIoControlFile
    0x009b   0x0093   0x0000c670 NtDisplayString
    0x009c   0x0094   0x0000c680 NtDuplicateObject
    0x009d   0x0095   0x0000c690 NtDuplicateToken
    0x009e   0x0096   0x0000c6a0 NtEnumerateBootEntries
    0x009f   0x0097   0x0000c6b0 NtEnumerateKey
    0x00a0   0x0098   0x0000c6c0 NtEnumerateSystemEnvironmentValuesEx
    0x00a1   0x0099   0x0000c6d0 NtEnumerateValueKey
    0x00a2   0x009a   0x0000c6e0 NtExtendSection
    0x00a3   0x009b   0x0000c6f0 NtFilterToken
    0x00a4   0x009c   0x0000c700 NtFindAtom
    0x00a5   0x009d   0x0000c710 NtFlushBuffersFile
    0x00a6   0x009e   0x0000c720 NtFlushInstructionCache
    0x00a7   0x009f   0x0000c730 NtFlushKey
    0x00a8   0x00a0   0x0000c740 NtFlushVirtualMemory
    0x00a9   0x00a1   0x0000c750 NtFlushWriteBuffer
    0x00aa   0x00a2   0x0000c760 NtFreeUserPhysicalPages
    0x00ab   0x00a3   0x0000c770 NtFreeVirtualMemory
    0x00ac   0x00a4   0x0000c780 NtFsControlFile
    0x00ad   0x00a5   0x0000c790 NtGetContextThread
    0x00ae   0x00a6   0x0000c7a0 NtGetDevicePowerState
    0x00af   0x00a7   0x0000c7b0 NtGetPlugPlayEvent
    0x00b0   0x00a8   0x0000c7c0 NtGetWriteWatch
    0x00b1   0x00a9   0x0000c7d0 NtImpersonateAnonymousToken
    0x00b2   0x00aa   0x0000c7e0 NtImpersonateClientOfPort
    0x00b3   0x00ab   0x0000c7f0 NtImpersonateThread
    0x00b4   0x00ac   0x0000c800 NtInitializeRegistry
    0x00b5   0x00ad   0x0000c810 NtInitiatePowerAction
    0x00b6   0x00ae   0x0000c820 NtIsProcessInJob
    0x00b7   0x00af   0x0000c830 NtIsSystemResumeAutomatic
    0x00b8   0x00b0   0x0000c840 NtListenPort
    0x00b9   0x00b1   0x0000c850 NtLoadDriver
    0x00ba   0x00b3   0x0000c870 NtLoadKey2
    0x00bb   0x00b2   0x0000c860 NtLoadKey
    0x00bc   0x00b4   0x0000c880 NtLockFile
    0x00bd   0x00b5   0x0000c890 NtLockProductActivationKeys
    0x00be   0x00b6   0x0000c8a0 NtLockRegistryKey
    0x00bf   0x00b7   0x0000c8b0 NtLockVirtualMemory
    0x00c0   0x00b8   0x0000c8c0 NtMakePermanentObject
    0x00c1   0x00b9   0x0000c8d0 NtMakeTemporaryObject
    0x00c2   0x00ba   0x0000c8e0 NtMapUserPhysicalPages
    0x00c3   0x00bb   0x0000c8f0 NtMapUserPhysicalPagesScatter
    0x00c4   0x00bc   0x0000c900 NtMapViewOfSection
    0x00c5   0x00bd   0x0000c910 NtModifyBootEntry
    0x00c6   0x00be   0x0000c920 NtNotifyChangeDirectoryFile
    0x00c7   0x00bf   0x0000c930 NtNotifyChangeKey
    0x00c8   0x00c0   0x0000c940 NtNotifyChangeMultipleKeys
    0x00c9   0x00c1   0x0000c950 NtOpenDirectoryObject
    0x00ca   0x00c2   0x0000c960 NtOpenEvent
    0x00cb   0x00c3   0x0000c970 NtOpenEventPair
    0x00cc   0x00c4   0x0000c980 NtOpenFile
    0x00cd   0x00c5   0x0000c990 NtOpenIoCompletion
    0x00ce   0x00c6   0x0000c9a0 NtOpenJobObject
    0x00cf   0x00c7   0x0000c9b0 NtOpenKey
    0x00d0   0x00c8   0x0000d3c0 NtOpenKeyedEvent
    0x00d1   0x00c9   0x0000c9c0 NtOpenMutant
    0x00d2   0x00ca   0x0000c9d0 NtOpenObjectAuditAlarm
    0x00d3   0x00cb   0x0000c9e0 NtOpenProcess
    0x00d4   0x00cc   0x0000c9f0 NtOpenProcessToken
    0x00d5   0x00cd   0x0000ca00 NtOpenProcessTokenEx
    0x00d6   0x00ce   0x0000ca10 NtOpenSection
    0x00d7   0x00cf   0x0000ca20 NtOpenSemaphore
    0x00d8   0x00d0   0x0000ca30 NtOpenSymbolicLinkObject
    0x00d9   0x00d1   0x0000ca40 NtOpenThread
    0x00da   0x00d2   0x0000ca50 NtOpenThreadToken
    0x00db   0x00d3   0x0000ca60 NtOpenThreadTokenEx
    0x00dc   0x00d4   0x0000ca70 NtOpenTimer
    0x00dd   0x00d5   0x0000ca80 NtPlugPlayControl
    0x00de   0x00d6   0x0000ca90 NtPowerInformation
    0x00df   0x00d7   0x0000caa0 NtPrivilegeCheck
    0x00e0   0x00d8   0x0000cab0 NtPrivilegeObjectAuditAlarm
    0x00e1   0x00d9   0x0000cac0 NtPrivilegedServiceAuditAlarm
    0x00e2   0x00da   0x0000cad0 NtProtectVirtualMemory
    0x00e3   0x00db   0x0000cae0 NtPulseEvent
    0x00e4   0x00dc   0x0000caf0 NtQueryAttributesFile
    0x00e5   0x00dd   0x0000cb00 NtQueryBootEntryOrder
    0x00e6   0x00de   0x0000cb10 NtQueryBootOptions
    0x00e7   0x00df   0x0000cb20 NtQueryDebugFilterState
    0x00e8   0x00e0   0x0000cb30 NtQueryDefaultLocale
    0x00e9   0x00e1   0x0000cb40 NtQueryDefaultUILanguage
    0x00ea   0x00e2   0x0000cb50 NtQueryDirectoryFile
    0x00eb   0x00e3   0x0000cb60 NtQueryDirectoryObject
    0x00ec   0x00e4   0x0000cb70 NtQueryEaFile
    0x00ed   0x00e5   0x0000cb80 NtQueryEvent
    0x00ee   0x00e6   0x0000cb90 NtQueryFullAttributesFile
    0x00ef   0x00e7   0x0000cba0 NtQueryInformationAtom
    0x00f0   0x00e8   0x0000cbb0 NtQueryInformationFile
    0x00f1   0x00e9   0x0000cbc0 NtQueryInformationJobObject
    0x00f2   0x00ea   0x0000cbd0 NtQueryInformationPort
    0x00f3   0x00eb   0x0000cbe0 NtQueryInformationProcess
    0x00f4   0x00ec   0x0000cbf0 NtQueryInformationThread
    0x00f5   0x00ed   0x0000cc00 NtQueryInformationToken
    0x00f6   0x00ee   0x0000cc10 NtQueryInstallUILanguage
    0x00f7   0x00ef   0x0000cc20 NtQueryIntervalProfile
    0x00f8   0x00f0   0x0000cc30 NtQueryIoCompletion
    0x00f9   0x00f1   0x0000cc40 NtQueryKey
    0x00fa   0x00f2   0x0000cc50 NtQueryMultipleValueKey
    0x00fb   0x00f3   0x0000cc60 NtQueryMutant
    0x00fc   0x00f4   0x0000cc70 NtQueryObject
    0x00fd   0x00f5   0x0000cc80 NtQueryOpenSubKeys
    0x00fe   0x00f6   0x0000cc90 NtQueryPerformanceCounter
    0x00ff   0x00f7   0x0000d3f0 NtQueryPortInformationProcess
    0x0100   0x00f8   0x0000cca0 NtQueryQuotaInformationFile
    0x0101   0x00f9   0x0000ccb0 NtQuerySection
    0x0102   0x00fa   0x0000ccc0 NtQuerySecurityObject
    0x0103   0x00fb   0x0000ccd0 NtQuerySemaphore
    0x0104   0x00fc   0x0000cce0 NtQuerySymbolicLinkObject
    0x0105   0x00fd   0x0000ccf0 NtQuerySystemEnvironmentValue
    0x0106   0x00fe   0x0000cd00 NtQuerySystemEnvironmentValueEx
    0x0107   0x00ff   0x0000cd10 NtQuerySystemInformation
    0x0108   0x0100   0x0000cd20 NtQuerySystemTime
    0x0109   0x0101   0x0000cd30 NtQueryTimer
    0x010a   0x0102   0x0000cd40 NtQueryTimerResolution
    0x010b   0x0103   0x0000cd50 NtQueryValueKey
    0x010c   0x0104   0x0000cd60 NtQueryVirtualMemory
    0x010d   0x0105   0x0000cd70 NtQueryVolumeInformationFile
    0x010e   0x0106   0x0000cd80 NtQueueApcThread
    0x010f   0x0107   0x0000cd90 NtRaiseException
    0x0110   0x0108   0x0000cda0 NtRaiseHardError
    0x0111   0x0109   0x0000cdb0 NtReadFile
    0x0112   0x010a   0x0000cdc0 NtReadFileScatter
    0x0113   0x010b   0x0000cdd0 NtReadRequestData
    0x0114   0x010c   0x0000cde0 NtReadVirtualMemory
    0x0115   0x010d   0x0000cdf0 NtRegisterThreadTerminatePort
    0x0116   0x010e   0x0000d3d0 NtReleaseKeyedEvent
    0x0117   0x010f   0x0000ce00 NtReleaseMutant
    0x0118   0x0110   0x0000ce10 NtReleaseSemaphore
    0x0119   0x0111   0x0000ce20 NtRemoveIoCompletion
    0x011a   0x0112   0x0000ce30 NtRemoveProcessDebug
    0x011b   0x0113   0x0000ce40 NtRenameKey
    0x011c   0x0114   0x0000ce50 NtReplaceKey
    0x011d   0x0115   0x0000ce60 NtReplyPort
    0x011e   0x0116   0x0000ce70 NtReplyWaitReceivePort
    0x011f   0x0117   0x0000ce80 NtReplyWaitReceivePortEx
    0x0120   0x0118   0x0000ce90 NtReplyWaitReplyPort
    0x0121   0x0119   0x0000cea0 NtRequestDeviceWakeup
    0x0122   0x011a   0x0000ceb0 NtRequestPort
    0x0123   0x011b   0x0000cec0 NtRequestWaitReplyPort
    0x0124   0x011c   0x0000ced0 NtRequestWakeupLatency
    0x0125   0x011d   0x0000cee0 NtResetEvent
    0x0126   0x011e   0x0000cef0 NtResetWriteWatch
    0x0127   0x011f   0x0000cf00 NtRestoreKey
    0x0128   0x0120   0x0000cf10 NtResumeProcess
    0x0129   0x0121   0x0000cf20 NtResumeThread
    0x012a   0x0122   0x0000cf30 NtSaveKey
    0x012b   0x0123   0x0000cf40 NtSaveKeyEx
    0x012c   0x0124   0x0000cf50 NtSaveMergedKeys
    0x012d   0x0125   0x0000cf60 NtSecureConnectPort
    0x012e   0x0126   0x0000cf70 NtSetBootEntryOrder
    0x012f   0x0127   0x0000cf80 NtSetBootOptions
    0x0130   0x0128   0x0000cf90 NtSetContextThread
    0x0131   0x0129   0x0000cfa0 NtSetDebugFilterState
    0x0132   0x012a   0x0000cfb0 NtSetDefaultHardErrorPort
    0x0133   0x012b   0x0000cfc0 NtSetDefaultLocale
    0x0134   0x012c   0x0000cfd0 NtSetDefaultUILanguage
    0x0135   0x012d   0x0000cfe0 NtSetEaFile
    0x0136   0x012e   0x0000cff0 NtSetEvent
    0x0137   0x012f   0x0000d000 NtSetEventBoostPriority
    0x0138   0x0130   0x0000d010 NtSetHighEventPair
    0x0139   0x0131   0x0000d020 NtSetHighWaitLowEventPair
    0x013a   0x0132   0x0000d030 NtSetInformationDebugObject
    0x013b   0x0133   0x0000d040 NtSetInformationFile
    0x013c   0x0134   0x0000d050 NtSetInformationJobObject
    0x013d   0x0135   0x0000d060 NtSetInformationKey
    0x013e   0x0136   0x0000d070 NtSetInformationObject
    0x013f   0x0137   0x0000d080 NtSetInformationProcess
    0x0140   0x0138   0x0000d090 NtSetInformationThread
    0x0141   0x0139   0x0000d0a0 NtSetInformationToken
    0x0142   0x013a   0x0000d0b0 NtSetIntervalProfile
    0x0143   0x013b   0x0000d0c0 NtSetIoCompletion
    0x0144   0x013c   0x0000d0d0 NtSetLdtEntries
    0x0145   0x013d   0x0000d0e0 NtSetLowEventPair
    0x0146   0x013e   0x0000d0f0 NtSetLowWaitHighEventPair
    0x0147   0x013f   0x0000d100 NtSetQuotaInformationFile
    0x0148   0x0140   0x0000d110 NtSetSecurityObject
    0x0149   0x0141   0x0000d120 NtSetSystemEnvironmentValue
    0x014a   0x0142   0x0000d130 NtSetSystemEnvironmentValueEx
    0x014b   0x0143   0x0000d140 NtSetSystemInformation
    0x014c   0x0144   0x0000d150 NtSetSystemPowerState
    0x014d   0x0145   0x0000d160 NtSetSystemTime
    0x014e   0x0146   0x0000d170 NtSetThreadExecutionState
    0x014f   0x0147   0x0000d180 NtSetTimer
    0x0150   0x0148   0x0000d190 NtSetTimerResolution
    0x0151   0x0149   0x0000d1a0 NtSetUuidSeed
    0x0152   0x014a   0x0000d1b0 NtSetValueKey
    0x0153   0x014b   0x0000d1c0 NtSetVolumeInformationFile
    0x0154   0x014c   0x0000d1d0 NtShutdownSystem
    0x0155   0x014d   0x0000d1e0 NtSignalAndWaitForSingleObject
    0x0156   0x014e   0x0000d1f0 NtStartProfile
    0x0157   0x014f   0x0000d200 NtStopProfile
    0x0158   0x0150   0x0000d210 NtSuspendProcess
    0x0159   0x0151   0x0000d220 NtSuspendThread
    0x015a   0x0152   0x0000d230 NtSystemDebugControl
    0x015b   0x0153   0x0000d240 NtTerminateJobObject
    0x015c   0x0154   0x0000d250 NtTerminateProcess
    0x015d   0x0155   0x0000d260 NtTerminateThread
    0x015e   0x0156   0x0000d270 NtTestAlert
    0x015f   0x0157   0x0000d280 NtTraceEvent
    0x0160   0x0158   0x0000d290 NtTranslateFilePath
    0x0161   0x0159   0x0000d2a0 NtUnloadDriver
    0x0162   0x015a   0x0000d2b0 NtUnloadKey
    0x0163   0x015b   0x0000d2c0 NtUnloadKeyEx
    0x0164   0x015c   0x0000d2d0 NtUnlockFile
    0x0165   0x015d   0x0000d2e0 NtUnlockVirtualMemory
    0x0166   0x015e   0x0000d2f0 NtUnmapViewOfSection
    0x0167   0x015f   0x0000d300 NtVdmControl
    0x0168   0x0160   0x0000d310 NtWaitForDebugEvent
    0x0169   0x0161   0x0000d3e0 NtWaitForKeyedEvent
    0x016a   0x0162   0x0000d320 NtWaitForMultipleObjects
    0x016b   0x0163   0x0000d330 NtWaitForSingleObject
    0x016c   0x0164   0x0000d340 NtWaitHighEventPair
    0x016d   0x0165   0x0000d350 NtWaitLowEventPair
    0x016e   0x0166   0x0000d360 NtWriteFile
    0x016f   0x0167   0x0000d370 NtWriteFileGather
    0x0170   0x0168   0x0000d380 NtWriteRequestData
    0x0171   0x0169   0x0000d390 NtWriteVirtualMemory
    0x0172   0x016a   0x0000d3a0 NtYieldExecution
    0x0173   0x016b   0x00059a69 PfxFindPrefix
    0x0174   0x016c   0x00059721 PfxInitialize
    0x0175   0x016d   0x00059986 PfxInsertPrefix
    0x0176   0x016e   0x0005973f PfxRemovePrefix
    0x0177   0x0170   0x0002a583 RtlAbortRXact
    0x0178   0x0171   0x00028df9 RtlAbsoluteToSelfRelativeSD
    0x0179   0x0172   0x0000f7ed RtlAcquirePebLock
    0x017a   0x0173   0x00029476 RtlAcquireResourceExclusive
    0x017b   0x0174   0x0002939f RtlAcquireResourceShared
    0x017c   0x0175   0x00016be3 RtlActivateActivationContext
    0x017d   0x0176   0x00016a5d RtlActivateActivationContextEx
    0x017e   0x0177   0x00000598 RtlActivateActivationContextUnsafeFast
    0x017f   0x0178   0x00017c1b RtlAddAccessAllowedAce
    0x0180   0x0179   0x00028e29 RtlAddAccessAllowedAceEx
    0x0181   0x017a   0x00059e73 RtlAddAccessAllowedObjectAce
    0x0182   0x017b   0x0002cfbb RtlAddAccessDeniedAce
    0x0183   0x017c   0x00059e17 RtlAddAccessDeniedAceEx
    0x0184   0x017d   0x00059ec0 RtlAddAccessDeniedObjectAce
    0x0185   0x017e   0x0002a950 RtlAddAce
    0x0186   0x017f   0x0002dc8d RtlAddActionToRXact
    0x0187   0x0180   0x00033afa RtlAddAtomToAtomTable
    0x0188   0x0181   0x0002da2e RtlAddAttributeActionToRXact
    0x0189   0x0182   0x0002f3fd RtlAddAuditAccessAce
    0x018a   0x0183   0x00059e3b RtlAddAuditAccessAceEx
    0x018b   0x0184   0x00059f0e RtlAddAuditAccessObjectAce
    0x018c   0x0185   0x00059bd3 RtlAddCompoundAce
    0x018d   0x0186   0x0005ae66 RtlAddRange
    0x018e   0x0187   0x0000efb2 RtlAddRefActivationContext
    0x018f   0x0188   0x0001f981 RtlAddRefMemoryStream
    0x0190   0x0189   0x00035ffa RtlAddVectoredExceptionHandler
    0x0191   0x018a   0x00011c85 RtlAddressInSectionTable
    0x0192   0x018b   0x00028e4d RtlAdjustPrivilege
    0x0193   0x018c   0x00017c6b RtlAllocateAndInitializeSid
    0x0194   0x018d   0x00018774 RtlAllocateHandle
    0x0195   0x018e   0x0000f4a4 RtlAllocateHeap
    0x0196   0x018f   0x00017579 RtlAnsiCharToUnicodeChar
    0x0197   0x0190   0x0005c990 RtlAnsiStringToUnicodeSize
    0x0198   0x0191   0x0000df1b RtlAnsiStringToUnicodeString
    0x0199   0x0192   0x0005ccfa RtlAppendAsciizToString
    0x019a   0x0193   0x0001c8bd RtlAppendPathElement
    0x019b   0x0194   0x0005cd55 RtlAppendStringToString
    0x019c   0x0195   0x0001438f RtlAppendUnicodeStringToString
    0x019d   0x0196   0x0001431a RtlAppendUnicodeToString
    0x019e   0x0197   0x00053cb5 RtlApplicationVerifierStop
    0x019f   0x0198   0x0002dc09 RtlApplyRXact
    0x01a0   0x0199   0x0002e1c0 RtlApplyRXactNoFlush
    0x01a1   0x019a   0x0002942b RtlAreAllAccessesGranted
    0x01a2   0x019b   0x000374f4 RtlAreAnyAccessesGranted
    0x01a3   0x019c   0x0005d37f RtlAreBitsClear
    0x01a4   0x019d   0x00025ae7 RtlAreBitsSet
    0x01a5   0x019f   0x0005d753 RtlAssert2
    0x01a6   0x019e   0x0005d961 RtlAssert
    0x01a7   0x01a0   0x0005dba9 RtlCancelTimer
    0x01a8   0x01a1   0x0000271a RtlCaptureContext
    0x01a9   0x01a2   0x0005de69 RtlCaptureStackBackTrace
    0x01aa   0x01a3   0x0005dd69 RtlCaptureStackContext
    0x01ab   0x01a4   0x00032f90 RtlCharToInteger
    0x01ac   0x01a5   0x00012e93 RtlCheckForOrphanedCriticalSections
    0x01ad   0x01a6   0x0002f597 RtlCheckProcessParameters
    0x01ae   0x01a7   0x0002ee83 RtlCheckRegistryKey
    0x01af   0x01a8   0x0002b59b RtlClearAllBits
    0x01b0   0x01a9   0x00025aa1 RtlClearBits
    0x01b1   0x01aa   0x00050cd0 RtlCloneMemoryStream
    0x01b2   0x01ab   0x00050cd0 RtlCommitMemoryStream
    0x01b3   0x01ac   0x000355a7 RtlCompactHeap
    0x01b4   0x01ad   0x00001f53 RtlCompareMemory
    0x01b5   0x01ae   0x00001fa3 RtlCompareMemoryUlong
    0x01b6   0x01af   0x0005cc1e RtlCompareString
    0x01b7   0x01b0   0x00016d88 RtlCompareUnicodeString
